Page,Source,Device Category,Landing Page,Social Source Referral,Pageviews,Sessions,Connect to Provider (Goal 1 Completions),Avg. Time on Page,Hits,Session Duration,Users
/blog/estate-planning-for-seniors-in-colorado/,google,mobile,/blog/estate-planning-for-seniors-in-colorado/,No,5,4,0,248.50,5,686.00,4
/blog/falls-are-preventable-heres-how/?fbclid=IwAR0RLfWa7DoM8jQZUXtWmENE0sJt1XFc8mH1vfV20ymCrgrDRVneBUldDFo_aem_ASyM8kn3cA7aEhUBh2nGn1b3qt9uYFn6QjwGVWub41i_sS17xzlTE587nwYMYLQ7x-XpbUb4V5MowfnXNF1hMH97PZemmQT6xQ2WPCG2_6KVf7GKKgFAXJAw_M9_TH3zHKg,(direct),desktop,/blog/falls-are-preventable-heres-how/?fbclid=IwAR0RLfWa7DoM8jQZUXtWmENE0sJt1XFc8mH1vfV20ymCrgrDRVneBUldDFo_aem_ASyM8kn3cA7aEhUBh2nGn1b3qt9uYFn6QjwGVWub41i_sS17xzlTE587nwYMYLQ7x-XpbUb4V5MowfnXNF1hMH97PZemmQT6xQ2WPCG2_6KVf7GKKgFAXJAw_M9_TH3zHKg,No,5,2,0,688.00,5,2752.00,1
/blog/home-modifications/,google,desktop,/blog/home-modifications/,No,5,4,0,787.00,5,1693.00,4
/blog/how-do-people-get-paid-to-take-care-of-a-family-member/,google,desktop,/blog/how-do-people-get-paid-to-take-care-of-a-family-member/,No,5,4,0,84.00,5,100.00,4
/blog/how-do-people-get-paid-to-take-care-of-a-family-member/,google,mobile,/blog/how-do-people-get-paid-to-take-care-of-a-family-member/,No,5,5,0,0.00,5,0.00,5
/community-resources/,alittlehelp.org,desktop,/,No,5,0,0,26.00,5,0.00,1
/community-resources/,google,desktop,/,No,5,0,0,21.25,5,0.00,4
/events/,google,desktop,/,No,5,0,0,11.75,6,0.00,5
/in-home-care/,google,desktop,/,No,5,0,0,22.40,6,0.00,5
/participating-providers/,bing,desktop,/,No,5,0,0,22.20,5,0.00,4
/provider/adams-county-aging-network-acan/,google,desktop,/provider/adams-county-aging-network-acan/,No,5,2,0,58.33,5,750.00,2
/provider/rocky-mountain-regional-va-medical-center/,google,desktop,/provider/rocky-mountain-regional-va-medical-center/,No,5,5,0,322.00,6,322.00,5
/,jeffcolibrary.bibliocommons.com,desktop,/,No,4,3,0,75.67,4,559.00,3
/,lm.facebook.com,mobile,/,Yes,4,2,0,86.33,4,1165.00,2
/?fbclid=IwAR1wmXBixqs9XwG3y0nZ2K5s6pbBvkOcygwmqaNAtu6KvO19Qa0bRohnfVw_aem_ARw2pGC7g-yUGoKgd2Xu6wgvvAPi9IbW_v5CZwWxneCdC3tmpGoV_kLF10OnU_EYIEHmomc7brl4J5Sg1KvKDmKlcXlXy8f1QjjFR7h8KhIdOc0FiXZSALpBjz1pr8gQmQM,facebook,tablet,/?fbclid=IwAR1wmXBixqs9XwG3y0nZ2K5s6pbBvkOcygwmqaNAtu6KvO19Qa0bRohnfVw_aem_ARw2pGC7g-yUGoKgd2Xu6wgvvAPi9IbW_v5CZwWxneCdC3tmpGoV_kLF10OnU_EYIEHmomc7brl4J5Sg1KvKDmKlcXlXy8f1QjjFR7h8KhIdOc0FiXZSALpBjz1pr8gQmQM,Yes,4,1,0,87.67,4,263.00,1
/?s=caregiver+support,(direct),desktop,/,No,4,0,0,16.50,4,0.00,1
/about/,duckduckgo,desktop,/guide-to-aging-in-place/,No,4,0,0,115.00,4,0.00,1
/blog/falls-are-preventable-heres-how/,(direct),mobile,/blog/falls-are-preventable-heres-how/,No,4,4,0,0.00,4,0.00,3
