Rank,City,Population
288,Allenspark and Saguache,464
289,Calhan and Yampa,463
290,Deer Trail and Coaldale,462
291,Crawford,458
292,Copper Mountain,455
293,Naturita,451
294,Victor,449
295,Sugar City,445
296,Lake City,438
297,Manzanola,435
298,Comanche Creek,426
299,Blanca,420
300,St. Mary's,416
301,Echo Hills,414
302,Arboles and Empire,410
303,Morrison,401
304,North La Junta,382
305,Louviers,381
306,El Moro,380
307,Rollinsville,375
308,South Fork,369
309,Kit Carson,363
310,Placerville,360
311,Chacra and City of Creede,357
312,Eldora,352
313,Wiley,349
314,Coal Creek,348
315,Iliff,345
316,Pine Valley,343
317,Vineland,339
318,Eckley,334
319,Eldorado Springs,325
320,Briggsdale,323
321,Red Cliff and Redvale,318
322,Hillrose,312
323,Romeo,306
324,Tall Timber,295
325,Idledale,292
326,Alma,290
327,Crowley,277
328,Westcreek,273
329,Merino,272
330,Gerrard,271
331,Midland,269
332,No Name,267
333,Blue Valley,263
334,Sugarloaf and Grand Lake,262
335,Peetz,256
336,Boone,255
337,Ovid,252
338,Jamestown,250
339,Lazear,245
340,Grover and Larkspur,244
341,Nathrop,240
342,Morgan Heights,227
343,Jansen and Brookside,224
344,Elbert,220
345,Catherine,219
346,Ophir,218
347,Marble,217
348,Franktown,214
349,Rye,213
350,Woody Creek,212
351,Garden City,208
352,Phippsburg,207
353,Cheraw and Alpine,202
354,Southern Ute,199
355,Gold Hill,195
356,Weldona,188
357,Lewis,186
358,Dinosaur,183
359,Twin Lakes,182
360,Silver Plume and Arriba,175
361,Bonanza Mountain Estates and Mountain Meadows,174
362,Florissant and Rico,172
363,La Junta Gardens,168
364,Crook and Bethune,166
365,Capulin and Ramah,164
366,Sedgwick,163
367,Hasty,161
368,Atwood,155
369,Amherst,154
370,Snyder,152
371,Montezuma,151
372,Sunshine,145
373,Jackson Lake and Trail Side,138
374,Pitkin,137
375,San Acacio,135
376,Brick Center,134
377,Genoa,131
378,Starkville,129
379,East Pleasant View,128
380,Seven Hills and Divide,127
381,Portland,126
382,Hoehne,125
383,Seibert,119
384,Orchard,111
385,Glendale and Vilas,109
386,Bark Ranch,107
387,Vona,106
388,Moffat,104
389,Sedalia and McClave,103
390,Maysville,101
391,"Blue Sky, Black Hawk, and Valmont",98
392,Pritchett,97
393,Campo,96
394,Peoria,91
395,Somerset,90
396,Cokedale,87
397,Segundo,85
398,Joes,84
399,Gardner,82
400,Kirk,81
401,Rock Creek Park,80
402,Ward,77
403,Raymer (New Raymer),76
404,Branson,75
405,Paoli,73
406,Smeltertown,72
407,Kim and Marvel,71
408,Sheridan Lake,70
409,Hartman,69
410,Hooper and Heeney,65
411,Padroni,63
412,Goldfield,62
413,Haswell,60
414,Arapahoe,56
415,McCoy,53
416,Saddle Ridge and Crisman,51
417,Cope and Idalia,50
418,Lynn and Crestone,44
419,Redstone,43
420,Colona,42
421,Two Buttes,41
422,Sawpit,38
423,Stonewall Gap,37
424,Maybell,36
425,Cotopaxi,34
426,Hidden Lake,30
427,Towner,26
428,Laird,24
429,Parshall,23
430,Matheson,21
431,Conejos and Piedra,18
432,Weston,16
433,Cathedral,11
434,Lakeside,6
435,Brandon and Bonanza,3
